id,name,IIN,statusCode
1,Ratnakar Bank,607393,0
2,Axis Bank,607153,1
3,Union Bank Of India,607161,1
4,Bank of Maharashtra,607387,1
5,Oriental Bank of Commerce,607085,1
6,HDFC Bank,607152,1
7,ICICI bank,508534,1
8,Canara Bank,607396,1
9,Vijaya Bank,607075,1
10,United Bank of India,607646,1
11,Andhra Bank,607076,1
12,Bank of Baroda,606985,1
13,Bank of India,508505,1
14,Central bank of India,607264,1
15,IndusInd bank,607189,1
16,UCO Bank,607066,1
17,Allahabad Bank,608112,1
18,Punjab & Sind Bank,607087,1
19,Corporation Bank,607184,1
20,State Bank of India,607094,1
21,Syndicate Bank,607580,1
22,Pragathi Krishna Gramin Bank,607400,1
23,Kerala Gramin Bank,607399,1
24,Dena bank,508547,1
26,Indian Bank,607105,1
27,Indian Overseas Bank,607126,1
28,IDBI Bank,607095,1
29,State bank of Bikaner and Jaipur,60698,1
30,State bank of Patiala,606990,1
31,State bank of Hyderabad,607901,1
33,State bank of Mysore,606989,1
34,Saptagiri Grameena Bank,607053,1
35,Pandyan GB,607059,1
36,IDFC Bank,608117,1
37,Chaitanya Godavari Gramin Bank,607080,1
38,South Indian bank,607475,1
39,Karur Vyasa Bank,508662,1
40,Allahabad UP Gramin Bank,607091,1
41,Sutlej Gramin Bank,607310,1
42,Andhra Pragathi Grameena Bank,607121,1
43,Baroda Gujrat Gramin Bank,606995,1
44,Baroda Rajasthan Kshetriya Gramin Bank,607280,1
45,Baroda Uttar Pradesh Gramin Bank,606993,1
46,Chhattisgharh Rajya Gramin Bank,607214,1
47,Ellaquai Dehati Bank,607218,1
48,Himachal Pradesh Gramin Bank,607140,1
49,Karnataka Vikas Grameena Bank,607122,1
50,Langpi Dehangi Rural Bank,607202,1
51,Madhya Bihar Gramin Bank,607136,1
52,Madhyanchal Gramin Bank,607232,1
53,Maharashtra Gramin Bank,607000,1
54,Meghalaya Rural Bank,607206,1
55,Pallavan Grama Bank,607052,1
56,Prathama Bank,607124,1
57,Punjab Gramin Bank,607138,1
58,Punjab National Bank,607027,1
59,Purvanchal Gramin Bank,607212,1
60,Sarva Haryana Gramin Bank,607139,1
61,Saurashtra Gramin Bank,607200,1
62,Telangana Grameena Bank,607195,1
63,Utkal Gramin Bank,607234,1
64,Uttar Banga Kshetriya Gramin Bank,607073,1
65,Uttarakhand Gramin Bank,607197,1
66,Vananchal Gramin Bank,607210,1
67,Rajasthan Marudhara Gramin Bank,607509,1
68,Odisha Gramya Bank,607060,1
69,Central Madya Pradesh Gramin Bank,607071,1
70,Uttar Bihar Grameen Bank,607069,1
71,Sarva UP Gramin Bank,607135,1
72,Tripura Gramin Bank,607065,1
73,Bangiya Gramin Vikash Bank,607063,1
74,Manipur Rural Bank,607062,1
75,Bihar Gramin Bank,607377,1
76,Dena Gujarat Gramin bank,607099,1
77,Paschim Banga Gramin Bank,607079,1
78,Andhra Pradesh Gramin Vikash Bank,607198,1
79,Assam Gramin Vikash Bank,607064,1
80,Gramin bank of Aryavart,607024,1
81,Jammu & Kashmir Bank ,607440,1
82,Jharkhand Gramin Bank,607021,1
83,Kashi Gomati Samyut Gramin Bank,607365,1
84,Kaveri Grameena Bank,607308,1
85,Malwa Gramin Bank,607241,1
86,Narmada Jhabua Gramin Bank,607022,1
87,Shivalik Mercantile Cooperative Bank ,607119,1
88,Vidarbha Konkan Gramin Bank,607020,1
89,City Union Bank,607324,1
